Region,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and barbuda,安提瓜和巴布达,ATG,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,澳大利亚,AUS,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800179146,0.796029871,0.789183177,0.786030209,0.736965378,0.632704787,0.642396392,0.633409418,0.626530991,0.59692076,0.537433549,0.528210151,0.511827128,0.529393539,0.507557482,0.502157191,0.472249027,0.50145568,0.488549163,0.49204212,0.483757073,0.481164254,0.467666285,0.465551602,0.460189624,0.460026924,0.454322188,0.4471804
Austria,奥地利,AUT,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205062383,1.216313977,1.190334162,1.2058747,1.175675739,1.444835632,1.455298094,1.189870048,1.179041463,1.041658361,1.038714825,0.890164276,0.870895089,0.86667333,1.002253786,0.995717172,0.981742775,0.84080529,0.831474987,0.608446125,0.602306808,0.540030799,0.523812686,0.512028692,0.509880348,0.478610161,0.494351046,0.461088216
Azerbaijan,阿塞拜疆,AZE,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427543218,1.450037508,1.568257957,3.891097188,3.350878781,3.187817101,2.571373692,2.468326774,2.489641975,2.441361085,2.394364803,2.195938027,2.13465116,2.108810507,2.060919783,2.011323753,1.94381152,1.87997914,1.839443148,1.80382843,1.770891769,1.74253776,1.710421024,1.680773266,1.64933274,1.629628717
Burundi,布隆迪,BDI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467392189,0.465995891,0.503119924,0.501493293,0.654099995,0.56055189,0.8437401,0.843498772,1.66557479,1.728816676,1.707450338,1.86012244,1.799767724,1.906066977,2.655141386,2.588343804,0,1.497704987,1.445046579,1.39741496,1.352191437,1.315715546,1.279915194,1.248180297,1.216071776,0.943875766,1.135470658,0.665781821
Belgium,比利时,BEL,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68431426,2.501494085,1.937912236,1.707133036,1.273089153,1.125170981,1.103042515,1.053742778,1.027004097,0.956033891,0.890918278,0.914668403,0.901064083,0.931150759,0.806250953,0.801550241,0.863028713,0.825786037,0.818254031,0.824554955,0.731185867,0.699596679,0.626234621,0.756457728,0.754501474,0.72686771,0.675256543,0.635247712
Benin,贝宁,BEN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307035095,0.346147893,0.333840453,0.36735736,0.353889914,0.311435307,0.302162824,0.293321354,0.28481814,0.27652175,0.268363311,0.260701251,0.246178427,0.237971544,0.194512731,0.251049544,0,0.237105745,0.230562434,0.203185956,0.197547253,0.250557856,0.242925158,0.235441377,0.22810665,0.227902461,0.220848557,0.263317849
Burkina Faso,布基纳法索,BFA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258748882,0.252346571,0.222570146,0.217924641,0.213180677,0.238527355,0.233912604,0.222415427,0.223112107,0.219336726,0.235330085,0.29002255,0.288189456,0.294015894,0.196667739,0.211262329,0,0.202918271,0.198664656,0.197968172,0.193864764,0.190288474,0.186737891,0.183298277,0.180031333,0.174091108,0.168439052,0.156565511
Bangladesh,孟加拉国,BGD,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304248892,0.306822608,0.297700594,0.288696275,0.295464147,0.431725947,0.410866959,0.406802113,0.394430612,0.430712248,0.297964453,0.424014729,0.412973822,0.379367743,0.492390594,0.483031987,0.402722563,0.408591311,0.401688539,0.394888209,0.388228577,0.381048439,0.374042282,0.3671924,0.360509242,0.354028702,0.347858281,0.328474565
Bulgaria,保加利亚,BGR,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20396278,2.678679836,2.494488189,1.333249236,2.078733054,3.586757975,3.687884294,3.700936979,3.776545562,3.265908283,3.31093747,3.172022816,2.994548693,2.537295255,2.50565098,2.550159385,2.180385312,2.134579245,2.096834032,1.865386576,1.911607436,1.419198546,1.41519186,1.404496884,1.40755126,1.418748172,0.958741347,0.923332982
Bahrain,巴林,BHR,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686296194,3.600360036,3.045080238,2.934702861,3.226717219,7.760872012,7.689102686,7.684029748,7.443318328,7.262401022,6.940624918,6.505901344,5.974928172,5.650552909,5.081608208,4.631743322,3.787410647,3.413564066,3.093933448,2.912218898,2.725005496,2.676724328,2.630579336,2.603065893,2.565349849,2.50162297,2.384660725,2.19062344
Bahamas,巴哈马,BHS,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.453830497,2.180445492,2.116926705,2.077744464,2.064755907,2.028886268,1.984237712,0.546040298,0.53510274,0.501039949,0.490691133,0.479522708,0.469140382,0.53436787,0.450533043,0.441383275,0.428561345,0.420681702,0.632049786,0.621474328,0.611969176,0.601704211,0.455692972
Bosnia and Herz,波斯尼亚和黑塞哥维那,BIH,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.579789938,0,4.510210472,6.119706786,15.36830446,5.871621769,5.8806716,5.869674124,5.17220728,1.628897732,1.337205376,1.261925362,1.601122921,0.792418666,0.592063196,0.591273202,0.591926128,0.698168866,0.702966322,0.713232525,0.724283787,0.740357896,0.757639714,0.772882853,0.780104802,0.821116121
Belarus,白俄罗斯,BLR,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.176082169,2.44551967,1.379075646,2.25308974,1.975154875,1.896678742,1.919802872,2.183731933,1.896780574,3.98594402,3.894544437,3.728549374,3.687406029,3.687040757,3.674544582,3.655792183,3.634616565,3.611351892,3.594065842,3.099626103,3.096583821,3.094454503,3.093674708,3.093608683,3.047499403,3.062431923
Belize,伯利兹,BLZ,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613527817,1.57492716,1.54292415,1.514050388,1.482118243,1.5777169,1.509123337,1.367258711,1.295864342,1.230733165,1.22895416,1.174410659,1.124709876,1.078484239,0.940238444,0.901518157,0.859283701,0.819806526,0.782925951,0.785904614,0.752186714,0.718164781,0.686633534,0.671862403,0.657944206,0.921370262,0.890197149,1.150522913
Bermuda,百慕大,BMU,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,玻利维亚,BOL,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058561006,1.133221133,1.07242703,1.042775294,0.886706746,1.973002189,1.921072972,2.058670356,2.008848037,1.933403688,1.887094793,1.806803696,1.755008041,1.704739175,1.641741569,1.642380551,1.89411271,1.882132261,1.830494046,1.793885567,1.755980358,1.720596973,1.753980608,1.706412892,1.389147945,1.445351601,1.343854658,1.364771256
Brazil,巴西,BRA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491055605,0.476385044,0.464174699,0.450943818,0.437981618,0.977732579,0.976009217,0.970303167,0.942601077,0.883685757,0.85677594,0.836291773,0.810564873,0.79437521,0.786857136,0.74957136,0.829659249,0.783407358,0.770600058,0.747712366,0.748450575,0.749883909,0.730302728,0.72075901,0.72938529,0.717456411,0.711110054,0.699665438
Barbados,巴巴多斯,BRB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415587294,0.417466811,0.414891852,0.41991643,0.418467449,0.410568021,0.407005929,0.403958796,0.401222391,0.401743964,0.399771933,0.398380355,0.397088883,0.649333784,0.395605536,0.396139909,0.394423753,0.398718871,0.392719875,0.403257794,0.398390763,0.392335942,0.643322633
Brunei darussalam,文莱达鲁萨兰国,BRN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.633291853,3.515216493,3.392907128,3.272465475,3.942160619,6.833142258,6.689405746,6.429703097,6.203558992,5.781378016,5.604381607,6.026866154,6.498002016,6.345817395,5.790689729,6.22245855,5.019744328,4.946740098,4.870551563,4.924062964,4.839967141,4.748094346,4.669241059,4.598901235,4.531359457,4.464414993,5.772625352,3.767010406
Bhutan,不丹,BTN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.481414208,2.497016066,2.506215414,2.000440097,2.449587489,2.856095622,3.218020917,3.096618934,2.549448682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,博茨瓦纳,BWA,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.393546949,1.562363991,1.505470234,1.452924218,1.401971171,1.641205456,1.587939135,1.534398507,1.654268361,1.709100791,1.682634872,1.617505289,1.635977801,1.577514558,1.448446179,1.534992241,1.478409178,1.442155787,1.406937481,1.313159863,1.348098219,1.239584538,1.159673833,1.097389676,1.081387265,0.909749788,0.888527335,0.864687876
Central African Rep,中非共和国,CAF,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34703003,0.33874306,0.329383748,0.319749317,0.310300984,0.37664443,0.367231223,0.358484871,0.346534792,0.341723324,0.360047526,0.274728689,0.227743085,0.226325276,0.123315206,0.181358411,0,0.175498328,0.172774335,0.178952565,0.176987769,0.176760138,0.458105545,0.457847935,0.458352103,0.45752177,0.451622627,0.435969678
Canada,加拿大,CAN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593257526,0.583467146,0.557275937,0.513467301,0.502280084,0.503750747,0.52624377,0.471951506,0.446944437,0.438970902,0.423091167,0.4016044,0.363584101,0.355181923,0.404488754,0.401225127,0.357333349,0.350258365,0.344630965,0.351376284,0.347478383,0.344874974,0.343091354,0.337603964,0.35920461,0.343365909,0.339905614,0.357811233
Central Europe and the Baltic sea,中歐和波羅的海,CEB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729994708,1.825854771,1.667481635,1.574348294,1.603874471,2.19214457,2.073788134,2.016141466,2.003106698,1.931425124,1.860581307,1.535583455,1.458504915,1.356743418,1.217192619,1.22999624,1.111581195,1.088825727,1.065766381,1.005607606,0.992144024,0.951281542,1.055815478,1.046409008,1.052183301,1.053038653,1.03310611,0.99922143
Switzerland,瑞士,CHE,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577109275,0.570413088,0.797729097,0.895267972,1.005017097,0.807505169,0.694514405,0.66806878,0.661556499,0.692840358,0.693080802,0.661065371,0.674421043,0.664271906,0.096438316,2.612811116,0.542950449,0.533941996,0.521574593,0.571899382,0.568293548,0.508933883,0.492727001,0.456414263,0.438598433,0.435211181,0.428465225,0.426887575
The channel islands,海峡群岛,CHI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,智利,CHL,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.862823264,1.720942977,1.710575147,1.669254313,1.809100521,2.248593807,2.042758708,2.072478966,2.00758966,1.952058091,1.844572666,1.925592703,1.829113404,1.730102495,1.704781265,1.656134508,1.425529377,1.383966254,1.325728201,1.315468054,1.284686002,1.241180738,1.253263387,1.234456724,1.251413629,1.231511851,1.351708436,1.324247404
China,中国,CHN,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545610849,0.492359717,0.478358304,0.450694582,0.428918493,0.596986144,0.587177045,0.511009551,0.531980917,0.527209308,0.533211587,0.516764495,0.507064825,0.49948534,0.495927707,0.492818346,0.470592605,0.375197633,0.374320108,0.381583891,0.381353197,0.379837316,0.384393695,0.38300623,0.381837872,0.361993868,0.342731687,0.342265981
C?te d'Ivoire,科特迪瓦,CIV,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340839219,0.328726631,0.316695623,0.304950072,0.293719226,0.283310036,0.274739112,0.266344118,0.258446639,0.252397694,0,0,0,0,0.28131989,0.293103355,0,0.28470041,0.280156445,0.268982829,0,0,0,0,0.330469834,0.323764747,0.31747862,0.333128357
Cameroon,喀麦隆,CMR,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440724812,0.447006204,0.21714501,0.210811725,0.204693415,0.390731647,0.35574752,0.345709742,0.335757523,0.325932839,0.316267573,0.432589363,0.433838248,0.421402577,0.293191395,0.284498435,0,0.268475773,0.266578055,0.266372573,0.266736785,0.257851753,0.251380916,0.243992731,0.23678118,0.231719624,0.224914143,0.223848899
Dem. Rep. Congo,刚果（金）,COD,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407430163,0.428805066,0.309373608,0.26434213,0.254878697,0.401312656,0.390960372,0.451291599,0.498206714,0.519123469,0.505430907,0.431263602,0.419293237,0.489109854,0.310470346,0.30564638,0,0.651626786,0.676830418,0.701034771,0.689708273,0.574256449,0.566217049,0.548300831,0.530751715,0.513410276,0.496933026,0.479936866
Congo,刚果（布）,COG,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.018957131,0.987877644,1.063349018,1.028914557,0.99447371,1.607028585,1.397228272,1.350793997,1.306272022,1.261781888,1.220589887,0.946280448,0.916949584,0.887512259,0.858391203,0.829698792,0,0.769910857,0.741781524,0.715894346,0.692563541,0.674797982,0.658775633,0.643797547,0.629494327,0.614740556,0.598773413,0.583305788
Colombia,哥伦比亚,COL,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775615823,0.755662921,0.929055144,0.90654795,0.926110819,1.439973466,1.405043087,1.368164587,1.335135719,1.296737201,1.350466655,1.40085624,1.370731439,1.54407649,1.702402683,1.683946244,1.981598912,2.032329466,1.976260163,2.001506153,1.940097469,1.879896774,1.824597441,1.868394973,1.835803185,1.894070477,1.867231424,1.837560282
The comoros,科摩罗,COM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Verde,",佛得角,CPV,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891265597,0.864879825,0.836652053,0.807806643,0.779490058,0.865214611,0.838546908,0.812548576,0.787423141,0.796521855,0.772285256,0.806266552,0.778620285,0.752532562,0.559134013,0.539449977,0,0.500482966,0.482176351,0.558812709,0.54149181,0.525711682,0.511831846,0.4995005,0.488160084,0.477461813,0.467528217,0.381573073
Costa Rica.,哥斯达黎加,CRI,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681540725,0.665302796,0.65578662,0.628015455,0.604489848,1.166908212,1.169101091,1.037646349,0.980946078,0.957776962,0.949660589,1.265987427,1.465358971,0.935871858,0,0,0.505304433,0.487749203,0.480068976,0.465454932,0.459381747,0.462086727,0.427903687,0.423915404,0.419405463,0.420421503,0.432545233,0.429244607
Small Caribbean country,加勒比小国,CSS,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692868307,0.680125046,0.477285506,0.469547497,0.461118914,0.769628137,0.80484629,0.792877058,0.806778033,0.786184856,0.787052714,0.596271895,0.503574818,0.488868429,0.344871915,0.48302821,0.476604622,0.505682374,0.517704457,0.473425722,0.469532897,0.413787688,0.407905763,0.418344538,0.506738337,0.516214701,0.523731608,0.525545369
Cuba,古巴,CUB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.231235431,7.104928308,4.116970907,4.05647541,3.204493616,2.809930203,2.667015695,1.760447644,1.753173188,2.023289723,1.855738614,1.582936944,1.568711625,1.553285402,1.592983735,1.582123339,1.556514587,1.524187553,1.508468962,1.466120195,1.472823576,1.471647397,1.473262146,1.472434658,1.472361436,1.473795621,1.478643588,1.492489537
Curacao,库拉索,CUW,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The cayman islands,开曼群岛,CYM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,塞浦路斯,CYP,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.923566283,2.839360349,2.777515457,0,0,3.60020264,3.50190854,2.54675725,2.521409425,2.487119037,2.426001343,2.320888642,2.124339036,2.042165666,2.160047757,2.074897027,2.022238985,1.965894025,1.927905308,1.883334852,2.177008739,2.177280125,2.164355192,2.147361188,2.108821822,2.109872216,2.611628462,2.61830226
